"Id","SalePrice"
1461,126703.771969512
1462,157569.781442628
1463,184685.566628396
1464,183100.589875657
1465,198535.702450874
1466,171608.754519397
1467,169322.956086621
1468,163968.132393797
1469,192442.633343919
1470,125506.743387482
1471,197441.395999416
1472,95227.4416829333
1473,89673.0556936208
1474,155097.860965598
1475,139251.199497588
1476,383800.306881327
1477,270154.01090081
1478,279478.574549348
1479,266005.025641979
1480,441941.306323857
1481,329288.470627692
1482,207940.783863457
1483,161831.440979914
1484,169750.860851912
1485,180256.705641751
1486,194982.980257113
1487,329031.949207703
1488,246653.243461675
1489,202455.635380942
1490,204601.82779668
1491,197522.246764795
1492,92925.3885803656
1493,187949.930321157
1494,312616.293247657
1495,298226.291626102
1496,216625.239073541
1497,182170.979703785
1498,156969.339303961
1499,162145.430314729
1500,141026.22377224
1501,173150.546649253
1502,146107.930266693
1503,307856.33006908
1504,241266.81897219
1505,223539.602785047
1506,187498.486175203
1507,235496.47796674
1508,207751.958256839
1509,162679.189999979
1510,149915.522415267
1511,144169.266006881
1512,174012.685358297
1513,141686.23653905
1514,161141.529537956
1515,202706.62932573
1516,161749.024931248
1517,158070.263948724
1518,141088.41317769
1519,209898.904807939
1520,133686.708664041
1521,135469.945577996
1522,174940.271059472
1523,115040.756874357
1524,128112.86311627
1525,123419.032740035
1526,120309.077646844
1527,106163.167461677
1528,136795.08696347
1529,150457.18349282
1530,184240.0650588
1531,98942.7404108075
1532,98781.1614863632
1533,144018.320137197
1534,119608.046283549
1535,157109.545831805
1536,107952.013004463
1537,61995.3071808338
1538,174576.0685985
1539,218083.039158581
1540,77688.4368573983
1541,138464.824993054
1542,140193.295569215
1543,224314.31420292
1544,75551.1286889497
1545,106155.849179199
1546,125150.337496097
1547,127188.766855751
1548,136982.3068788
1549,106339.530694258
1550,140330.461606352
1551,119608.641379035
1552,121551.21271688
1553,162819.419544319
1554,117366.497364341
1555,164538.609773946
1556,76849.68936134
1557,96409.6417348295
1558,93866.3500066153
1559,74949.1742561666
1560,138938.89716126
1561,117263.840633154
1562,130151.718127062
1563,124252.044442547
1564,147378.293990353
1565,145258.948579473
1566,254386.887377438
1567,69606.356337946
1568,226111.355969298
1569,130075.263508001
1570,135074.253915431
1571,132216.154675474
1572,150317.251998744
1573,251324.788749723
1574,104317.976046523
1575,215627.771185449
1576,213921.833937027
1577,196111.331750304
1578,149449.511419355
1579,147369.328325285
1580,188625.496901918
1581,148611.162538495
1582,131553.626322338
1583,347414.722565087
1584,222876.569162319
1585,139944.348640634
1586,63442.5840381187
1587,100897.485570274
1588,147132.511887308
1589,91239.9714199678
1590,140790.916523842
1591,97811.9110271744
1592,126015.741332403
1593,131990.198305807
1594,119303.907684829
1595,110762.374707536
1596,250071.663809391
1597,172109.14509537
1598,217857.13115557
1599,184322.256929386
1600,189520.780689194
1601,57617.4894029287
1602,112665.812666103
1603,81972.8972916777
1604,277133.826187543
1605,251329.88104562
1606,169041.27832156
1607,192628.968877943
1608,208847.822450509
1609,195479.274505504
1610,145849.426799055
1611,147917.488220639
1612,159735.57490621
1613,161483.584826122
1614,130152.46771883
1615,85642.2583372094
1616,72433.2212997163
1617,89682.2990713152
1618,131267.545013841
1619,146190.325350484
1620,158864.757492041
1621,135518.037391379
1622,134488.019663257
1623,292573.706480803
1624,200190.323221663
1625,128459.837939901
1626,169234.077951995
1627,184057.085860568
1628,283132.179738802
1629,180304.674192341
1630,344512.920748146
1631,222899.49683714
1632,251170.554227599
1633,169821.415178392
1634,184621.400863101
1635,178038.562153384
1636,152739.35078464
1637,193634.644347722
1638,204085.247222978
1639,181431.662862353
1640,248061.739571211
1641,184986.366675038
1642,212809.844109387
1643,216051.656249967
1644,229284.902942832
1645,194789.190151955
1646,153734.26157588
1647,174088.18717038
1648,134981.178317267
1649,136615.25520176
1650,119339.973865671
1651,127288.462855692
1652,98656.529761473
1653,99717.2640131544
1654,152214.637062245
1655,160549.974712152
1656,146857.641814606
1657,153058.255106118
1658,148947.461662463
1659,146404.809701786
1660,150345.347528329
1661,437787.345464647
1662,430344.545379838
1663,410621.254333158
1664,436181.976525689
1665,317809.088954217
1666,324254.48221403
1667,383165.546537665
1668,329006.570489712
1669,298424.497568453
1670,348901.763214551
1671,255618.466483909
1672,431280.053556483
1673,312188.682263302
1674,255393.653759271
1675,171181.940590244
1676,171272.993566864
1677,207873.962965261
1678,424905.04749884
1679,348995.464080699
1680,349856.866071734
1681,257097.992339355
1682,307356.947098233
1683,173941.439019291
1684,176298.652733195
1685,174114.105642035
1686,175507.512968823
1687,165011.774172559
1688,195097.42676054
1689,201579.929175434
1690,202169.71830706
1691,183009.929505827
1692,268921.6313152
1693,163474.122823264
1694,178181.38188592
1695,169246.821227532
1696,272499.566965177
1697,171286.660220707
1698,394884.357859339
1699,327114.86651387
1700,240920.076785579
1701,281788.98788501
1702,251126.883554717
1703,254664.509663111
